model,L,agg,q_thr,thr,AUC,P,R,F1,pred_pos_rate
LogReg,62,max,0.8,0.5252204331670046,0.4453962892280302,0.08695652173913043,0.004889975550122249,0.009259259259259259,0.028395061728395062
NaiveBayes,62,max,0.8,0.6040726222100757,0.5456529824582798,0.5299539170506913,0.28117359413202936,0.36741214057507987,0.2679012345679012
SVM(Linear),62,max,0.8,0.06755115263406146,0.4478534714558347,0.037037037037037035,0.0024449877750611247,0.0045871559633027525,0.03333333333333333
LogReg,63,max,0.8,0.5235707126474473,0.46413916309470826,0.09375,0.007334963325183374,0.013605442176870748,0.03950617283950617
NaiveBayes,63,max,0.8,0.6999220457766593,0.5268125529696541,0.532871972318339,0.3765281173594132,0.44126074498567336,0.3567901234567901
SVM(Linear),63,max,0.8,0.06242148376298178,0.42424501094452133,0.13636363636363635,0.014669926650366748,0.026490066225165563,0.05432098765432099
LogReg,64,max,0.8,0.5319461704797938,0.4402990079812693,0.0,0.0,0.0,0.03827160493827161
NaiveBayes,64,max,0.8,0.7021516324644035,0.547939442347676,0.5574324324324325,0.4034229828850856,0.46808510638297873,0.3654320987654321
SVM(Linear),64,max,0.8,0.08436060170322947,0.41797096500801784,0.06666666666666667,0.004889975550122249,0.009111617312072893,0.037037037037037035
LogReg,65,max,0.8,0.5298835815078583,0.47799206141126405,0.25806451612903225,0.019559902200488997,0.03636363636363636,0.03827160493827161
NaiveBayes,65,max,0.8,0.6877286559576539,0.5143559194922229,0.5088967971530249,0.34963325183374083,0.4144927536231884,0.3469135802469136
SVM(Linear),65,max,0.8,0.07387450454481766,0.46222463401398706,0.09090909090909091,0.007334963325183374,0.013574660633484163,0.040740740740740744
LogReg,66,max,0.8,0.5327332927450031,0.4702912645037773,0.16666666666666666,0.014669926650366748,0.02696629213483146,0.044444444444444446
NaiveBayes,66,max,0.8,0.6745065755668964,0.482071105853947,0.4862068965517241,0.34474327628361856,0.4034334763948498,0.35802469135802467
SVM(Linear),66,max,0.8,0.08291286410452499,0.4594747849203397,0.14285714285714285,0.009779951100244499,0.018306636155606407,0.0345679012345679
LogReg,67,max,0.8,0.5294910849534121,0.4521520160478998,0.25,0.02444987775061125,0.044543429844097995,0.04938271604938271
NaiveBayes,67,max,0.8,0.6701669488661752,0.5230078837136986,0.5138339920948617,0.31784841075794623,0.39274924471299094,0.31234567901234567
SVM(Linear),67,max,0.8,0.07843015299849113,0.41446505984427684,0.3076923076923077,0.019559902200488997,0.0367816091954023,0.03209876543209877
LogReg,68,max,0.8,0.5309749346813168,0.4491765695784987,0.2631578947368421,0.02444987775061125,0.0447427293064877,0.04691358024691358
NaiveBayes,68,max,0.8,0.6654848844952521,0.5237700370101641,0.5017421602787456,0.35207823960880197,0.41379310344827586,0.35432098765432096
SVM(Linear),68,max,0.8,0.08871127316033953,0.4390551738014377,0.13636363636363635,0.007334963325183374,0.013921113689095127,0.027160493827160494
LogReg,69,max,0.8,0.5298493433447119,0.4459816229597156,0.125,0.009779951100244499,0.018140589569160998,0.03950617283950617
NaiveBayes,69,max,0.8,0.6564596591986107,0.515526586955594,0.5261324041811847,0.3691931540342298,0.4339080459770115,0.35432098765432096
SVM(Linear),69,max,0.8,0.08120673842542835,0.4355492686376967,0.09090909090909091,0.007334963325183374,0.013574660633484163,0.040740740740740744
LogReg,70,max,0.8,0.5304252525311021,0.49583864300129876,0.22727272727272727,0.02444987775061125,0.04415011037527594,0.05432098765432099
NaiveBayes,70,max,0.8,0.6798549410921785,0.5350742947033394,0.5109489051094891,0.3422982885085575,0.40995607613469986,0.33827160493827163
